epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2673,0.89,2.88598,1.41126,1.25214,0.53022,0.51099,0.48894,0.24222,0.44401,0.34826,0.24508,0.09188,1.76331,7.09967,2.18351,1.96677,0.000653595,0.000653595,0.000653595
2,113.34,0.81522,1.64345,0.92613,1.12681,0.07015,0.10945,0.01961,0.00405,0.03477,0.02985,0.00413,0.00123,3.53387,11.125,6.56835,6.29541,0.00126798,0.00126798,0.00126798
3,166.802,0.8122,1.58168,0.83677,1.12122,0.29207,0.29353,0.16777,0.12123,0.22284,0.24876,0.08638,0.02677,1.41187,5.55723,5.69482,1.59664,0.00182956,0.00182956,0.00182956
4,220.06,0.73669,1.39404,0.77168,1.08589,0.56869,0.94527,0.87292,0.74945,0.2887,0.47761,0.26016,0.10994,0.53046,7.7139,4.18214,0.89935,0.0017624,0.0017624,0.0017624
5,273.644,0.67361,1.28005,0.6807,1.05261,0.85698,0.9801,0.98543,0.87681,0.80078,0.91991,0.89181,0.60704,0.46543,1.78385,1.69773,0.79617,0.0016832,0.0016832,0.0016832
6,327.058,0.63297,1.10696,0.64606,1.02767,0.91022,0.9005,0.96082,0.86227,0.88802,0.87562,0.91432,0.74448,0.45143,1.20072,0.79767,0.77317,0.001604,0.001604,0.001604
7,380.496,0.57194,1.04084,0.56766,1.00339,0.89556,0.98123,0.9877,0.91513,0.86822,0.9506,0.95206,0.75137,0.35254,1.08155,0.93935,0.69915,0.0015248,0.0015248,0.0015248
8,433.93,0.53719,0.92512,0.52693,0.98642,0.9709,0.996,0.99339,0.93812,0.9709,0.996,0.99339,0.81478,0.36956,0.70151,0.70741,0.70408,0.0014456,0.0014456,0.0014456
9,487.349,0.51807,0.92718,0.4834,0.97458,0.99504,0.99882,0.99446,0.93901,0.98017,0.9839,0.97866,0.83661,0.3335,0.65389,0.38044,0.67479,0.0013664,0.0013664,0.0013664
10,540.695,0.49983,0.84088,0.46901,0.96974,0.97092,0.99651,0.9914,0.95142,0.96607,0.99154,0.98468,0.8949,0.28413,0.48067,0.62504,0.65216,0.0012872,0.0012872,0.0012872
11,594.173,0.46225,0.7833,0.44491,0.9559,0.97345,1,0.99391,0.95897,0.96861,0.99502,0.99217,0.88614,0.32205,0.56021,0.32777,0.6744,0.001208,0.001208,0.001208
12,647.414,0.45705,0.75274,0.43216,0.95235,0.98469,0.98507,0.99403,0.97205,0.97972,0.9801,0.99236,0.92221,0.2649,0.41536,0.27303,0.63788,0.0011288,0.0011288,0.0011288
13,700.701,0.43628,0.76191,0.42983,0.9466,0.99504,0.99797,0.9949,0.97263,0.99504,0.99797,0.9949,0.89702,0.27147,0.41972,0.26665,0.64764,0.0010496,0.0010496,0.0010496
14,753.986,0.42204,0.73486,0.39433,0.94346,0.99504,0.99901,0.99475,0.97257,0.99504,0.99901,0.99475,0.85168,0.23941,0.62735,0.41678,0.64013,0.0009704,0.0009704,0.0009704
15,807.256,0.41251,0.7053,0.39719,0.93947,0.9844,1,0.99455,0.97794,0.97861,0.99502,0.99297,0.92326,0.25164,0.39688,0.33578,0.63696,0.0008912,0.0008912,0.0008912
16,861.567,0.34599,0.48958,0.289,0.92577,0.9889,1,0.99475,0.98194,0.98398,0.99502,0.99202,0.9447,0.23826,0.35143,0.24379,0.62631,0.000812,0.000812,0.000812
17,914.846,0.33227,0.4346,0.24473,0.92134,0.98905,1,0.9943,0.98636,0.98905,1,0.9943,0.96049,0.21319,0.3216,0.19178,0.62292,0.0007328,0.0007328,0.0007328
18,967.795,0.31271,0.41723,0.24232,0.91703,0.98891,1,0.99475,0.98348,0.98891,1,0.99475,0.94544,0.21028,0.31519,0.19495,0.61882,0.0006536,0.0006536,0.0006536
19,1020.67,0.28122,0.39612,0.21184,0.89996,0.99014,0.99941,0.99415,0.98761,0.99014,0.99941,0.99415,0.96353,0.21325,0.31117,0.1971,0.62209,0.0005744,0.0005744,0.0005744
20,1073.75,0.27907,0.40862,0.20898,0.89679,0.99443,1,0.99446,0.98856,0.99443,1,0.99446,0.93857,0.20359,0.34824,0.2,0.60958,0.0004952,0.0004952,0.0004952
21,1126.65,0.26165,0.37701,0.19634,0.88216,0.9947,1,0.99416,0.98875,0.9947,1,0.99416,0.95472,0.19218,0.31028,0.16846,0.61134,0.000416,0.000416,0.000416
22,1179.4,0.24961,0.35103,0.18528,0.8836,0.99471,1,0.9948,0.99129,0.99471,1,0.9948,0.96398,0.1693,0.276,0.1447,0.60436,0.0003368,0.0003368,0.0003368
23,1232.48,0.23597,0.34196,0.18197,0.8752,0.99478,1,0.9948,0.9921,0.99478,1,0.9948,0.96688,0.16695,0.25979,0.14464,0.60531,0.0002576,0.0002576,0.0002576
24,1285.66,0.21687,0.33446,0.16455,0.86951,0.9948,1,0.99426,0.99176,0.9948,1,0.99426,0.97132,0.15139,0.26555,0.13634,0.60354,0.0001784,0.0001784,0.0001784
25,1338.77,0.20848,0.32162,0.15914,0.86362,0.99478,1,0.9946,0.99208,0.99478,1,0.9946,0.9671,0.13917,0.25682,0.11719,0.59568,9.92e-05,9.92e-05,9.92e-05
