epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.343,1.36885,1.69531,1.1888,0.54893,0.64499,0.64551,0.40411,1.13308,1.25865,1.16409,0.000253089,0.000253089,0.000253089
2,131.381,1.37694,1.13975,1.20073,0.60218,0.55024,0.60823,0.40633,1.20625,1.33187,1.27769,0.000489249,0.000489249,0.000489249
3,193.748,1.40859,1.12056,1.21808,0.54145,0.61998,0.58857,0.34175,1.29539,1.50151,1.29777,0.000705107,0.000705107,0.000705107
4,255.884,1.39215,1.08364,1.20941,0.73675,0.63297,0.69306,0.43881,1.16718,0.97712,1.16782,0.000677643,0.000677643,0.000677643
5,318.178,1.38151,1.03487,1.21087,0.66526,0.60594,0.65502,0.42932,1.13276,1.0896,1.16479,0.00064719,0.00064719,0.00064719
6,380.404,1.38271,0.94605,1.19741,0.71929,0.68738,0.71963,0.4707,1.10523,0.9234,1.13712,0.000616738,0.000616738,0.000616738
7,442.757,1.33988,0.92536,1.19364,0.71121,0.69102,0.71191,0.49607,1.0635,0.93255,1.1119,0.000586286,0.000586286,0.000586286
8,505.137,1.33282,0.88556,1.17736,0.75251,0.66785,0.75899,0.5216,1.05543,0.8783,1.11222,0.000555833,0.000555833,0.000555833
9,567.36,1.30166,0.87965,1.18463,0.77255,0.70203,0.79865,0.57179,1.00417,0.77711,1.07203,0.000525381,0.000525381,0.000525381
10,629.597,1.27696,0.8403,1.16266,0.82791,0.77452,0.82513,0.56748,1.03615,0.68397,1.11881,0.000494928,0.000494928,0.000494928
11,691.786,1.26839,0.82868,1.15653,0.82679,0.76745,0.81504,0.5857,1.02723,0.68746,1.08351,0.000464476,0.000464476,0.000464476
12,754.107,1.27823,0.79452,1.15749,0.81197,0.81175,0.84052,0.59985,0.99212,0.65603,1.08207,0.000434024,0.000434024,0.000434024
13,816.326,1.23993,0.77878,1.14765,0.82983,0.78544,0.82915,0.58692,0.99498,0.62175,1.07882,0.000403571,0.000403571,0.000403571
14,878.485,1.23599,0.76189,1.13434,0.83446,0.75451,0.83749,0.61179,0.94304,0.61808,1.05679,0.000373119,0.000373119,0.000373119
15,940.853,1.20088,0.74297,1.12017,0.79781,0.81532,0.84477,0.62658,0.95967,0.61103,1.07092,0.000342666,0.000342666,0.000342666
16,1004.02,1.24629,0.72621,1.14519,0.85121,0.77547,0.83286,0.6086,0.96675,0.60218,1.09994,0.000312214,0.000312214,0.000312214
17,1066.22,1.21248,0.70472,1.13177,0.81778,0.75955,0.83431,0.59238,0.97307,0.63113,1.07785,0.000281762,0.000281762,0.000281762
18,1128.31,1.20744,0.70248,1.13248,0.87184,0.80385,0.85178,0.63668,0.9346,0.57781,1.06112,0.000251309,0.000251309,0.000251309
19,1190.57,1.17362,0.66039,1.11104,0.89844,0.82126,0.86745,0.64672,0.91582,0.57665,1.05283,0.000220857,0.000220857,0.000220857
20,1252.82,1.18049,0.64255,1.1144,0.86281,0.82201,0.86523,0.64107,0.92816,0.57315,1.05807,0.000190404,0.000190404,0.000190404
21,1314.91,1.17307,0.64991,1.10768,0.90691,0.82929,0.87804,0.64928,0.91587,0.55176,1.04602,0.000159952,0.000159952,0.000159952
22,1377.22,1.14098,0.61993,1.10255,0.89953,0.8415,0.8873,0.66583,0.89551,0.53011,1.03588,0.0001295,0.0001295,0.0001295
23,1439.52,1.13949,0.60725,1.09671,0.86367,0.83831,0.88102,0.66144,0.91873,0.52123,1.05186,9.90472e-05,9.90472e-05,9.90472e-05
24,1501.54,1.11116,0.59872,1.0897,0.86957,0.85255,0.88749,0.66189,0.89102,0.52275,1.03501,6.85948e-05,6.85948e-05,6.85948e-05
25,1563.55,1.11404,0.59602,1.09228,0.85244,0.86676,0.88961,0.67102,0.8916,0.51837,1.03249,3.81424e-05,3.81424e-05,3.81424e-05
